23:26:51 root                           INFO     Logger initiated
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W8.ttc) normal normal 700 normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Adobe Devanagari' (AdobeDevanagari-Bold.otf) normal normal bold normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Brush Script Std' (BrushScriptStd.otf) normal normal medium normal>) = 10.145
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'TI-Nspire' (TI-Nspire.ttf) normal normal regular normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Noto Sans Kannada' (NotoSansKannada.ttc) normal normal black normal>) = 10.525
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W4.ttc) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Myanmar Sangam MN' (Myanmar Sangam MN.ttc) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Marion' (Marion.ttc) normal normal regular normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font '.SF NS Display Condensed' (SFNSDisplayCondensed-Heavy.otf) normal normal heavy condensed>) = 10.629999999999999
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Brush Script MT' (Brush Script.ttf) italic normal 400 normal>) = 11.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Courier New' (Courier New Italic.ttf) italic normal 400 normal>) = 11.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Arial Black' (Arial Black.ttf) normal normal black normal>) = 10.525
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Gujarati MT' (GujaratiMT.ttc) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Farisi' (Farisi.ttf) normal normal regular normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Noto Sans Osmanya' (NotoSansOsmanya-Regular.ttf) normal normal regular normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Al Nile' (Al Nile.ttc) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Fira Code' (FiraCode-Bold.ttf) normal normal bold normal>) = 10.335
